ritz,2014,3.35,5.59,270,0,1,0,0
sx4,2013,4.75,9.54,430,1,1,0,0
ciaz,2017,7.25,9.85,69,0,1,0,0
wagon r,2011,2.85,4.15,52,0,1,0,0
swift,2014,4.6,6.87,424.5,1,1,0,0
vitara brezza,2018,9.25,9.83,20.71,1,1,0,0
ciaz,2015,6.75,8.12,187.96,0,1,0,0
s cross,2015,6.5,8.61,334.29,1,1,0,0
ciaz,2016,8.75,8.89,202.73,1,1,0,0
ciaz,2015,7.45,8.92,423.67,1,1,0,0
alto 800,2017,2.85,3.6,21.35,0,1,0,0
ciaz,2015,6.85,10.38,510,1,1,0,0
ciaz,2015,7.5,9.94,150,0,1,1,0
ertiga,2015,6.1,7.71,260,0,1,0,0
dzire,2009,2.25,7.21,774.27,0,1,0,0
ertiga,2016,7.75,10.79,430,1,1,0,0
ertiga,2015,7.25,10.79,416.78,1,1,0,0
ertiga,2016,7.75,10.79,430,1,1,0,0
wagon r,2015,3.25,5.09,355,2,1,0,0
sx4,2010,2.65,7.98,414.42,0,1,0,0
alto k10,2016,2.85,3.95,250,0,1,0,0
ignis,2017,4.9,5.71,24,0,1,0,0
sx4,2011,4.4,8.01,500,0,1,1,0
alto k10,2014,2.5,3.46,452.8,0,1,0,0
wagon r,2013,2.9,4.41,568.79,0,1,0,0
swift,2011,3,4.99,200,0,1,0,0
swift,2013,4.15,5.87,551.38,0,1,0,0
swift,2017,6,6.49,162,0,0,0,0
alto k10,2010,1.95,3.95,445.42,0,1,0,0
ciaz,2015,7.45,10.38,450,1,1,0,0
ritz,2012,3.1,5.98,514.39,1,1,0,0
ritz,2011,2.35,4.89,542,0,1,0,0
swift,2014,4.95,7.49,390,1,1,0,0
ertiga,2014,6,9.95,450,1,1,0,0
dzire,2014,5.5,8.06,450,1,1,0,0
sx4,2011,2.95,7.74,499.98,2,1,0,0
dzire,2015,4.65,7.2,487.67,0,1,0,0
800,2003,0.35,2.28,1270,0,0,0,0
alto k10,2016,3,3.76,100.79,0,1,0,0
sx4,2003,2.25,7.98,620,0,1,0,0
baleno,2016,5.85,7.87,245.24,0,1,1,0
alto k10,2014,2.55,3.98,467.06,0,1,0,0
sx4,2008,1.95,7.15,580,0,1,0,0
dzire,2014,5.5,8.06,457.8,1,1,0,0
omni,2012,1.25,2.69,500,0,1,0,0
ciaz,2014,7.5,12.04,150,0,1,1,0
ritz,2013,2.65,4.89,645.32,0,1,0,0
wagon r,2006,1.05,4.15,650,0,1,0,0
ertiga,2015,5.8,7.71,258.7,0,1,0,0
ciaz,2017,7.75,9.29,370,0,1,1,0
fortuner,2012,14.9,30.61,1047.07,1,1,1,0
fortuner,2015,23,30.61,400,1,1,1,0
innova,2017,18,19.77,150,1,1,1,0
fortuner,2013,16,30.61,1350,1,0,1,0
innova,2005,2.75,10.21,900,0,0,0,0
